leto,mesto,vrsta_majice,ime_tekmovalca,država,ekipa,čas
2012,1,Bela (do 25 let),Tejay van Garderen,ZDA,BMC Racing Team,87:45:51
2012,2,Bela (do 25 let),Thibaut Pinot,Francija,FDJ–BigMat,6:13
2012,3,Bela (do 25 let),Steven Kruijswijk,Nizozemska,Rabobank,+ 1h 05' 48"
2012,4,Bela (do 25 let),Rein Taaramäe,Estonija,Cofidis,+ 1h 16' 48"
2012,5,Bela (do 25 let),Gorka Izagirre,Španija,Euskaltel–Euskadi,+ 1h 21' 15"
2012,6,Bela (do 25 let),Rafael Valls,Španija,Vacansoleil–DCM,+ 1h 26' 53"
2012,7,Bela (do 25 let),Peter Sagan,Slovaška,Liquigas–Cannondale,+ 1h 27' 33"
2012,8,Bela (do 25 let),Dominik Nerz,Nemčija,Liquigas–Cannondale,+ 1h 31' 08"
2012,9,Bela (do 25 let),Edvald Boasson Hagen,Norveška,Team Sky,+ 1h 41' 30"
2012,10,Bela (do 25 let),Davide Malacarne,Italija,Team Europcar,+ 1h 46' 41"
