leto,mesto,ime_tekmovalca,država,ekipa,čas
2014,1,Thibaut Pinot,Francija,FDJ.fr,90:07:21
2014,2,Romain Bardet,Francija,Ag2r–La Mondiale,3:11
2014,3,Michał Kwiatkowski,Poljska,Omega Pharma–Quick-Step,+ 1h 13' 40"
2014,4,Tom Dumoulin,Nizozemska,Giant–Shimano,+ 1h 39' 45"
2014,5,Jon Izagirre,Španija,Movistar Team,+ 1h 52' 35"
2014,6,Rafał Majka,Poljska,Tinkoff–Saxo,+ 2h 09' 38"
2014,7,Rudy Molard,Francija,Cofidis,+ 2h 26' 07"
2014,8,Ben King,ZDA,Garmin–Sharp,+ 2h 33' 44"
2014,9,Tom-Jelte Slagter,Nizozemska,Garmin–Sharp,+ 2h 41' 05"
2014,10,Peter Sagan,Slovaška,Cannondale,+ 2h 44' 37"
