leto,št_etape,vrsta_etape,dolžina_etape,ime_tekmovalca,država,ekipa

2013,1,ravninska,213,Marcel Kittel,Nemčija,Argos–Shimano

2013,2,razgibana,156,Jan Bakelants,Belgija,RadioShack–Leopard

2013,3,razgibana,145.5,Simon Gerrans,Avstralija,Orica–GreenEDGE

2013,4,moštveni kronometer,25,Orica–GreenEDGE,Avstralija,/

2013,5,ravninska,228.5,Mark Cavendish,Velika Britanija,Omega Pharma–Quick-Step

2013,6,ravninska,176.5,André Greipel,Nemčija,Lotto–Belisol

2013,7,ravninska,205.5,Peter Sagan,Slovaška,Cannondale

2013,8,gorska,195,Chris Froome,Velika Britanija,Team Sky

2013,9,gorska,168.5,Dan Martin,Irska,Garmin–Sharp

2013,10,ravninska,197,Marcel Kittel,Nemčija,Argos–Shimano

2013,11,samostojni kronometer,33,Tony Martin,Nemčija,Omega Pharma–Quick-Step

2013,12,ravninska,218,Marcel Kittel,Nemčija,Argos–Shimano

2013,13,ravninska,173,Mark Cavendish,Velika Britanija,Omega Pharma–Quick-Step

2013,14,razgibana,191,Matteo Trentin,Italija,Omega Pharma–Quick-Step

2013,15,gorska,242.5,Chris Froome,Velika Britanija,Team Sky

2013,16,gorska,168,Rui Costa,Portugalska,Movistar Team

2013,17,samostojni kronometer,32,Chris Froome,Velika Britanija,Team Sky

2013,18,gorska,172.5,Christophe Riblon,Francija,Ag2r–La Mondiale

2013,19,gorska,204.5,Rui Costa,Portugalska,Movistar Team

2013,20,gorska,125,Nairo Quintana,Kolumbija,Movistar Team

2013,21,ravninska,133.5,Marcel Kittel,Nemčija,Argos–Shimano

