leto,mesto,ime_tekmovalca,država,ekipa,točke
2013,1,Nairo Quintana,Kolumbija,Movistar Team,147
2013,2,Chris Froome,Velika Britanija,Team Sky,136
2013,3,Pierre Rolland,Francija,Team Europcar,119
2013,4,Joaquim Rodríguez,Španija,Team Katusha,99
2013,5,Christophe Riblon,Francija,Ag2r–La Mondiale,98
2013,6,Mikel Nieve,Španija,Euskaltel–Euskadi,98
2013,7,Moreno Moser,Italija,Cannondale,72
2013,8,Richie Porte,Avstralija,Team Sky,72
2013,9,Ryder Hesjedal,Kanada,Garmin–Sharp,64
2013,10,Tejay van Garderen,ZDA,BMC Racing Team,63
