ime_tekmovalca,starost
Chris Froome,31
Sergio Henao,28
Vasil Kiryienka,35
Mikel Landa,26
Mikel Nieve,32
Wout Poels,28
Luke Rowe,26
Ian Stannard,29
Geraint Thomas,30
Nairo Quintana,26
Alejandro Valverde,36
Winner Anacona,27
Imanol Erviti,32
Jesús Herrada,25
Gorka Izagirre,28
Jon Izagirre,27
Daniel Moreno,34
Nelson Oliveira,27
Fabio Aru,25
Vincenzo Nibali,31
Jakob Fuglsang,31
Andriy Hrivko,32
Tanel Kangert,29
Alexey Lutsenko,23
Diego Rosa,27
Luis León Sánchez,32
Paolo Tiralongo,38
Alberto Contador,33
Peter Sagan,26
Maciej Bodnar,31
Oscar Gatto,31
Robert Kišerlovski,29
Roman Kreuziger,30
Rafał Majka,26
Matteo Tosatto,42
Michael Valgren,24
Romain Bardet,25
Jan Bakelants,30
Mikaël Cherel,30
Samuel Dumoulin,35
Ben Gastauer,28
Cyril Gautier,28
Alexis Gougeard,23
Domenico Pozzovivo,33
Alexis Vuillermoz,28
Wilco Kelderman,25
George Bennett,26
Dylan Groenewegen,23
Bert-Jan Lindeman,27
Paul Martens,32
Timo Roosen,23
Sep Vanmarcke,27
Robert Wagner,33
Maarten Wynants,34
Bauke Mollema,29
Fabian Cancellara,35
Markel Irizar,36
Grégory Rast,36
Fränk Schleck,36
Peter Stetina,28
Jasper Stuyven,24
Edward Theuns,25
Haimar Zubeldia,39
Mathias Frank,29
Stef Clement,33
Jérôme Coppel,29
Martin Elmiger,37
Sondre Holst Enger,22
Reto Hollenstein,30
Leigh Howard,26
Oliver Naesen,25
Jarlinson Pantano,27
Pierre Rolland,29
Matti Breschel,31
Lawson Craddock,24
Alex Howes,28
Kristijan Koren,29
Sebastian Langeveld,31
Ramūnas Navardauskas,28
Tom-Jelte Slagter,27
Dylan van Baarle,23
Richie Porte,31
Brent Bookwalter,32
Marcus Burghardt,33
Damiano Caruso,28
Rohan Dennis,26
Amaël Moinard,34
Michael Schär,29
Greg Van Avermaet,31
Tejay van Garderen,27
Mark Cavendish,31
Natnael Berhane,25
Edvald Boasson Hagen,29
Steve Cummings,35
Bernhard Eisel,35
Reinardt Janse van Rensburg,27
Serge Pauwels,32
Mark Renshaw,33
Daniel Teklehaimanot,27
Warren Barguil,24
Roy Curvers,36
John Degenkolb,27
Tom Dumoulin,25
Simon Geschke,30
Georg Preidler,26
Ramon Sinkeldam,27
Laurens ten Dam,35
Albert Timmer,31
Thibaut Pinot,26
William Bonnet,34
Mathieu Ladagnous,31
Steve Morabito,33
Cédric Pineau,31
Sébastien Reichenbach,27
Anthony Roux,29
Jérémy Roy,33
Arthur Vichot,27
Emanuel Buchmann,23
Shane Archbold,27
Jan Bárta,31
Cesare Benedetti,28
Sam Bennett,25
Bartosz Huzarski,35
Patrick Konrad,24
Andreas Schillinger,32
Paul Voss,30
Joaquim Rodríguez,37
Jacopo Guarnieri,28
Marco Haller,25
Alexander Kristoff,28
Alberto Losada,34
Michael Mørkøv,31
Jurgen Van den Broeck,33
Ángel Vicioso,38
Ilnur Zakarin,26
Rui Costa,29
Yukiya Arashiro,31
Matteo Bono,32
Davide Cimolai,26
Kristijan Đurasek,28
Tsgabu Grmay,24
Louis Meintjes,24
Luka Pibernik,22
Jan Polanc,24
André Greipel,33
Lars Bak,36
Thomas De Gendt,29
Jens Debusschere,26
Tony Gallopin,28
Adam Hansen,35
Greg Henderson,39
Jürgen Roelandts,31
Marcel Sieberg,34
Bryan Coquard,24
Sylvain Chavanel,37
Antoine Duchesne,24
Yohann Gène,35
Fabrice Jeandesboz,31
Adrien Petit,25
Romain Sicard,28
Angelo Tulik,25
Thomas Voeckler,37
Marcel Kittel,28
Julian Alaphilippe,24
Iljo Keisse,33
Daniel Martin,29
Tony Martin,31
Maximiliano Richeze,33
Fabio Sabatini,31
Petr Vakoč,23
Julien Vermote,26
Daniel Navarro,32
Borut Božič,35
Jérôme Cousin,27
Nicolas Edet,28
Arnold Jeannesson,30
Christophe Laporte,23
Cyril Lemoine,33
Luis Ángel Maté,32
Geoffrey Soupe,28
Simon Gerrans,36
Michael Albasini,35
Luke Durbridge,25
Mathew Hayman,38
Daryl Impey,31
Christopher Juul-Jensen,26
Michael Matthews,25
Rubén Plaza,36
Adam Yates,23
Eduardo Sepúlveda,25
Vegard Breen,26
Anthony Delaplace,26
Brice Feillu,30
Armindo Fonseca,27
Daniel McLay,24
Pierre-Luc Périchon,29
Chris Anker Sørensen,31
Florian Vachon,31
