leto,mesto,ime_tekmovalca,država,ekipa,čas
2016,1,Chris Froome,Velika Britanija,Team Sky,89:04:48
2016,2,Romain Bardet,Francija,AG2R La Mondiale,4:05
2016,3,Nairo Quintana,Kolumbija,Movistar Team,4:21
2016,4,Adam Yates,Velika Britanija,Orica-BikeExchange,4:42
2016,5,Richie Porte,Avstralija,BMC Racing Team,5:17
2016,6,Alejandro Valverde,Španija,Movistar Team,6:16
2016,7,Joaquim Rodríguez,Španija,Team Katusha,6:58
2016,8,Louis Meintjes,JAR,Lampre-Merida,6:58
2016,9,Daniel Martin,Irska,Etixx-Quick Step,7:04
2016,10,Roman Kreuziger,Češka,Tinkoff,7:11
2016,11,Bauke Mollema,Nizozemska,Trek-Segafredo,13:13
2016,12,Sergio Luis Henao,Kolumbija,Team Sky,18:51
2016,13,Fabio Aru,Italija,Astana,19:20
2016,14,Sebastien Reichenbach,Švica,FDJ,24:59
2016,15,Geraint Thomas,Velika Britanija,Team Sky,28:31
2016,16,Pierre Rolland,Francija,Cannondale-Drapac,30:42
2016,17,Mikel Nieve,Španija,Team Sky,38:30
2016,18,Stef Clement,Nizozemska,IAM Cycling,38:57
2016,19,Jarlinson Pantano,Kolumbija,IAM Cycling,38:59
2016,20,Alexis Vuillermoz,Francija,AG2R La Mondiale,42:28
2016,21,Emanuel Buchmann,Nemčija,Bora-Argon 18,47:40
2016,22,Damiano Caruso,Italija,BMC Racing Team,48:23
2016,23,Warren Barguil,Francija,Team Giant-Alpecin,52:14
2016,24,Haimar Zubeldia,Španija,Trek-Segafredo,53:06
2016,25,Ilnur Zakarin,Rusija,Team Katusha ,56:33
2016,26,Tanel Kangert,Estonija,Astana,1:03:59
2016,27,Rafał Majka,Poljska,Tinkoff,1:04:25
2016,28,Wout Poels,Nizozemska,Team Sky,1:06:57
2016,29,Tejay van Garderen,ZDA,BMC Racing Team,1:12:06
2016,30,Vincenzo Nibali,Italija,Astana,1:19:59
2016,31,Daniel Moreno,Španija,Movistar Team,1:21:00
2016,32,Wilco Kelderman,Nizozemska,LottoNL-Jumbo,1:24:38
2016,33,Domenico Pozzovivo,Italija,AG2R La Mondiale,1:25:14
2016,34,Fränk Schleck,Luksemburg,Trek-Segafredo,1:27:39
2016,35,Mikel Landa,Španija,Team Sky,1:32:19
2016,36,Steve Morabito,Švica,FDJ,1:38:30
2016,37,Diego Rosa,Italija,Astana,1:46:36
2016,38,Daryl Impey,JAR,Orica-BikeExchange,1:50:51
2016,39,Bartosz Huzarski,Poljska,Bora-Argon 18,1:55:28
2016,40,Thomas de Gendt,Belgija,Lotto Soudal,1:58:45
2016,41,Julian Alaphilippe,Francija,Etixx-Quick Step,2:00:09
2016,42,Serge Pauwels,Belgija,Team Dimension Data,2:00:38
2016,43,Sylvain Chavanel,Francija,Direct Energie,2:02:53
2016,44,Greg Van Avermaet,Belgija,BMC Racing Team,2:06:13
2016,45,Amaël Moinard,Francija,BMC Racing Team,2:06:36
2016,46,Peter Stetina,ZDA,Trek-Segafredo,2:07:22
2016,47,Ion Izagirre,Španija,Movistar Team,2:09:49
2016,48,Luis Leon Sanchez,Španija,Astana,2:10:25
2016,49,Rui Costa,Portugalska,Lampre-Merida,2:11:42
2016,50,Jan Bakelants,Belgija,AG2R La Mondiale,2:13:47
2016,51,Kristijan Durasek,Hrvaška,Lampre-Merida,2:15:16
2016,52,Jakob Fuglsang,Danska,Astana,2:17:16
2016,53,George Bennett,Nova Zelandija,LottoNL-Jumbo,2:18:05
2016,54,Jan Polanc,Slovenija,Lampre-Merida,2:18:24
2016,55,Luis Ángel Maté,Španija,Cofidis,2:21:17
2016,56,Georg Preidler,Avstrija,Team Giant-Alpecin,2:25:45
2016,57,Mickaël Chérel,Francija,AG2R La Mondiale,2:27:45
2016,58,Robert Kišerlovski,Hrvaška,Tinkoff,2:28:06
2016,59,Eduardo Sepúlveda,Argentina,Fortuneo-Vital Concept,2:28:27
2016,60,Fabrice Jeandesboz,Francija,Direct Energie,2:39:17
2016,61,Ben Gastauer,Luksemburg,AG2R La Mondiale,2:41:05
2016,62,Alexey Lutsenko,Kazahstan,Astana,2:41:52
2016,63,Anthony Roux,Francija,FDJ,2:43:51
2016,64,Martin Elmiger,Švica,IAM Cycling,2:44:01
2016,65,Patrick Konrad,Avstrija,Bora-Argon 18,2:46:32
2016,66,Simon Geschke,Nemčija,Team Giant-Alpecin,2:47:32
2016,67,Alberto Losada,Španija,Team Katusha ,2:48:02
2016,68,Cyril Gautier,Francija,AG2R La Mondiale,2:49:49
2016,69,Winner Anacona,Kolumbija,Movistar Team,2:50:23
2016,70,Brice Feillu,Francija,Fortuneo-Vital Concept,2:50:49
2016,71,Tony Gallopin,Francija,Lotto Soudal,2:51:23
2016,72,Rubén Plaza,Španija,Orica-BikeExchange,2:53:10
2016,73,Laurens ten Dam,Nizozemska,Team Giant-Alpecin,2:53:22
2016,74,Paolo Tiralongo,Italija,Astana,2:58:12
2016,75,Jérome Coppel,Francija,IAM Cycling,2:58:48
2016,76,Michael Schar,Švica,BMC Racing Team,3:00:54
2016,77,Michael Valgren,Danska,Tinkoff,3:01:22
2016,78,Arthur Vichot,Francija,FDJ,3:02:10
2016,79,Thomas Voeckler,Francija,Direct Energie,3:02:35
2016,80,Nelson Oliveira,Portugalska,Movistar Team,3:04:53
2016,81,Romain Sicard,Francija,Direct Energie,3:09:11
2016,82,Tom-Jelte Slagter,Nizozemska,Cannondale-Drapac,3:09:19
2016,83,Oliver Naesen,Belgija,IAM Cycling,3:11:28
2016,84,Chris Anker Sørensen,Danska,Fortuneo-Vital Concept,3:12:52
2016,85,Daniel Teklehaimanot,Eritreja,Team Dimension Data,3:14:07
2016,86,Andrei Grivko,Ukrajina,Astana,3:14:31
2016,87,Arnold Jeannesson,Francija,Cofidis,3:18:14
2016,88,Jan Bárta,Češka,Bora-Argon 18,3:19:44
