leto,mesto,ime_tekmovalca,država,ekipa,točke
2014,1,Peter Sagan,Slovaška,Cannondale,431
2014,2,Alexander Kristoff,Norveška,Team Katusha,282
2014,3,Bryan Coquard,Francija,Team Europcar,271
2014,4,Marcel Kittel,Nemčija,Giant–Shimano,222
2014,5,Mark Renshaw,Avstralija,Omega Pharma–Quick-Step,211
2014,6,Vincenzo Nibali,Italija,Astana,182
2014,7,André Greipel,Nemčija,Lotto–Belisol,169
2014,8,Ramūnas Navardauskas,Litva,Garmin–Sharp,157
2014,9,Greg Van Avermaet,Belgija,BMC Racing Team,153
2014,10,Samuel Dumoulin,Francija,Ag2r–La Mondiale,117
