leto,mesto,vrsta_majice,ime_tekmovalca,država,ekipa,točke
2015,1,Zelena (točke),Peter Sagan,Slovaška,Tinkoff–Saxo,432
2015,2,Zelena (točke),André Greipel,Nemčija,Lotto–Soudal,366
2015,3,Zelena (točke),John Degenkolb,Nemčija,Team Giant–Alpecin,298
2015,4,Zelena (točke),Mark Cavendish,Velika Britanija,Etixx–Quick-Step,206
2015,5,Zelena (točke),Bryan Coquard,Francija,Team Europcar,152
2015,6,Zelena (točke),Chris Froome,Velika Britanija,Team Sky,139
2015,7,Zelena (točke),Thibaut Pinot,Francija,FDJ,113
2015,8,Zelena (točke),Alejandro Valverde,Španija,Movistar Team,103
2015,9,Zelena (točke),Thomas de Gendt,Belgija,Lotto–Soudal,90
2015,10,Zelena (točke),Alexander Kristoff,Norveška,Team Katusha,90
