leto,mesto,ime_tekmovalca,država,ekipa,čas

2012,1,Tejay van Garderen,ZDA,BMC Racing Team,87:45:51

2012,2,Thibaut Pinot,Francija,FDJ–BigMat,6:13

"2012,3,Steven Kruijswijk,Nizozemska,Rabobank,+ 1h 05' 48"""

"2012,4,Rein Taaramäe,Estonija,Cofidis,+ 1h 16' 48"""

"2012,5,Gorka Izagirre,Španija,Euskaltel–Euskadi,+ 1h 21' 15"""

"2012,6,Rafael Valls,Španija,Vacansoleil–DCM,+ 1h 26' 53"""

"2012,7,Peter Sagan,Slovaška,Liquigas–Cannondale,+ 1h 27' 33"""

"2012,8,Dominik Nerz,Nemčija,Liquigas–Cannondale,+ 1h 31' 08"""

"2012,9,Edvald Boasson Hagen,Norveška,Team Sky,+ 1h 41' 30"""

"2012,10,Davide Malacarne,Italija,Team Europcar,+ 1h 46' 41"""

2013,1,Nairo Quintana,Kolumbija,Movistar Team,84:01:00

2013,2,Andrew Talansky,ZDA,Garmin–Sharp,13:19

"2013,3,Michał Kwiatkowski,Poljska,Omega Pharma–Quick-Step,+ 14' 39"""

"2013,4,Romain Bardet,Francija,Ag2r–La Mondiale,+ 22' 22"""

"2013,5,Tom Dumoulin,Nizozemska,Argos–Shimano,+ 1h 30' 10"""

"2013,6,Alexandre Geniez,Francija,FDJ.fr,+ 1h 33' 46"""

"2013,7,Tejay van Garderen,ZDA,BMC Racing Team,+ 1h 34' 37"""

"2013,8,Alexis Vuillermoz,Francija,Sojasun,+ 1h 35' 45"""

"2013,9,Tony Gallopin,Francija,RadioShack–Leopard,+ 1h 58' 39"""

"2013,10,Arthur Vichot,Francija,FDJ.fr,+ 2h 10' 46"""

2014,1,Thibaut Pinot,Francija,FDJ.fr,90:07:21

2014,2,Romain Bardet,Francija,Ag2r–La Mondiale,3:11

"2014,3,Michał Kwiatkowski,Poljska,Omega Pharma–Quick-Step,+ 1h 13' 40"""

"2014,4,Tom Dumoulin,Nizozemska,Giant–Shimano,+ 1h 39' 45"""

"2014,5,Jon Izagirre,Španija,Movistar Team,+ 1h 52' 35"""

"2014,6,Rafał Majka,Poljska,Tinkoff–Saxo,+ 2h 09' 38"""

"2014,7,Rudy Molard,Francija,Cofidis,+ 2h 26' 07"""

"2014,8,Ben King,ZDA,Garmin–Sharp,+ 2h 33' 44"""

"2014,9,Tom-Jelte Slagter,Nizozemska,Garmin–Sharp,+ 2h 41' 05"""

"2014,10,Peter Sagan,Slovaška,Cannondale,+ 2h 44' 37"""

2015,1,Nairo Quintana,Kolumbija,Movistar Team,84:47:26

2015,2,Romain Bardet,Francija,AG2R La Mondiale,14:48

"2015,3,Warren Barguil,Francija,Team Giant–Alpecin,+ 30' 03"""

"2015,4,Thibaut Pinot,Francija,FDJ,+ 37' 40"""

"2015,5,Bob Jungels,Luksemburg,Trek Factory Racing,+ 1h 32' 09"""

"2015,6,Peter Sagan,Slovaška,Tinkoff–Saxo,+ 2h 13' 43"""

"2015,7,Adam Yates,Velika Britanija,Orica–GreenEDGE,+ 2h 15' 24"""

"2015,8,Wilco Kelderman,Nizozemska,LottoNL–Jumbo,+ 3h 02' 55"""

"2015,9,Emanuel Buchmann,Nemčija,Bora–Argon 18,+ 3h 07' 35"""

"2015,10,Merhawi Kudus,Eritreja,MTN–Qhubeka,+ 3h 09' 24"""

2016,1,Adam Yates,Velika Britanija,Orica–BikeExchange,89:09:30

2016,2,Louis Meintjes,JAR,Lampre–Merida,2:16

"2016,3,Emanuel Buchmann,Nemčija,Bora–Argon 18,+ 42' 58"""

"2016,4,Warren Barguil,Francija,Team Giant–Alpecin,+ 47' 32"""

"2016,5,Wilco Kelderman,Nizozemska,LottoNL–Jumbo,+ 1h 19' 56"""

"2016,6,Julian Alaphilippe,Francija,Etixx–Quick-Step,+ 1h 55' 27"""

"2016,7,Jan Polanc,Slovenija,Lampre–Merida,+ 2h 13' 42"""

"2016,8,Eduardo Sepúlveda,Argentina,Fortuneo–Vital Concept,+ 2h 23' 45"""

"2016,9,Alexey Lutsenko,Kazahstan,Astana,+ 2h 37' 10"""

"2016,10,Patrick Konrad,Avstrija,Bora–Argon 18,+ 2h 41' 50"""
