leto,mesto,ime_tekmovalca,država,ekipa,čas

2012,1,Bradley Wiggins,Velika Britanija,Team Sky,87:34:47

2012,2,Chris Froome,Velika Britanija,Team Sky,3:21

2012,3,Vincenzo Nibali,Italija,Liquigas-Cannondale,6:19

2012,4,Jurgen van den Broeck,Belgija,Lotto-Belisol,10:15

2012,5,Tejay van Garderen,ZDA,BMC Racing Team,11:04

2012,6,Haimar Zubeldia,Španija,RadioShack-Nissan,15:41

2012,7,Cadel Evans,Avstralija,BMC Racing Team,15:49

2012,8,Pierre Rolland,Francija,Team Europcar,16:26

2012,9,Janez Brajkovič,Slovenija,Astana,16:33

2012,10,Thibaut Pinot,Francija,FDJ-BigMat,17:17

2012,11,Andréas Klöden,Nemčija,RadioShack-Nissan,17:54

2012,12,Nicolas Roche,Irska,AG2R La Mondiale,19:33

2012,13,Chris Horner,ZDA,RadioShack-Nissan,19:55

2012,14,Chris Anker Sørensen,Danska,Saxo Bank-Tinkoff Bank,25:27

2012,16,Maxime Monfort,Belgija,RadioShack-Nissan,28:30

2012,17,Egoi Martinez,Španija,Euskaltel-Euskadi,31:46

2012,18,Rui Costa,Portugalska,Movistar Team,37:03

2012,19,Eduard Vorganov,Rusija,Team Katusha ,38:16

2012,20,Alejandro Valverde,Španija,Movistar Team,42:26

2012,21,Jérome Coppel,Francija,Saur-Sojasun,45:43

2012,22,Sandy Casar,Francija,FDJ-BigMat,46:52

2012,23,Michael Rogers,Avstralija,Team Sky,54:52

2012,24,Michele Scarponi,Italija,Lampre-ISD,58:37

2012,25,Ivan Basso,Italija,Liquigas-Cannondale,59:44

2012,26,Thomas Voeckler,Francija,Team Europcar,1:04:41

2012,27,Peter Velits,Slovaška,Omega Pharma-Quick-Step,1:05:10

2012,28,Laurens ten Dam,Nizozemska,Rabobank,1:05:39

2012,29,Jelle Vanendert,Belgija,Lotto-Belisol,1:08:26

2012,30,Juan Jose Cobo,Španija,Movistar Team,1:09:19

2012,31,Alexandre Vinokourov,Kazahstan,Astana,1:15:21

2012,32,Levi Leipheimer,ZDA,Omega Pharma-Quick-Step,1:16:29

2012,33,Steven Kruijswijk,Nizozemska,Rabobank,1:16:52

2012,34,Richie Porte,Avstralija,Team Sky,1:20:49

2012,35,Daniel Martin,Irska,Garmin-Sharp,1:25:23

2012,36,Rein Taaramäe,Estonija,Cofidis,1:27:52

2012,37,Giampaolo Caruso,Italija,Team Katusha ,1:28:32

2012,38,George Hincapie,ZDA,BMC Racing Team,1:30:38

2012,39,Gorka Izagirre,Španija,Euskaltel-Euskadi,1:32:19

2012,40,Fredrik Kessiakoff,Švedska,Astana,1:34:33

2012,41,Rafael Valls,Španija,Vacansoleil-DCM,1:37:57

2012,42,Peter Sagan,Slovaška,Liquigas-Cannondale,1:38:37

2012,43,Andrei Grivko,Ukrajina,Astana,1:38:41

2012,44,Jean-Christophe Peraud,Francija,AG2R La Mondiale,1:40:44

2012,45,Amaël Moinard,Francija,BMC Racing Team,1:41:00

2012,46,Philippe Gilbert,Belgija,BMC Racing Team,1:41:35

2012,47,Dominik Nerz,Nemčija,Liquigas-Cannondale,1:42:12

2012,48,Pierrick Fedrigo,Francija,FDJ-BigMat,1:42:39

2012,49,Michael Schar,Švica,BMC Racing Team,1:43:53

2012,50,Sérgio Paulinho,Portugalska,Saxo Bank-Tinkoff Bank,1:47:14

