leto,mesto,ime_tekmovalca,država,ekipa,točke

2012,1,Peter Sagan,Slovaška,Liquigas–Cannondale,420

2012,2,André Greipel,Nemčija,Lotto–Belisol,280

2012,3,Matthew Goss,Avstralija,Orica–GreenEDGE,268

2012,4,Mark Cavendish,Velika Britanija,Team Sky,220

2012,5,Edvald Boasson Hagen,Norveška,Team Sky,160

2012,6,Bradley Wiggins,Velika Britanija,Team Sky,144

2012,7,Chris Froome,Velika Britanija,Team Sky,126

2012,8,Luis León Sánchez,Španija,Rabobank,104

2012,9,Juan José Haedo,Argentina,Saxo Bank–Tinkoff Bank,102

2012,10,Cadel Evans,Avstralija,BMC Racing Team,100

2013,1,Peter Sagan,Slovaška,Cannondale,409

2013,2,Mark Cavendish,Velika Britanija,Omega Pharma–Quick-Step,312

2013,3,André Greipel,Nemčija,Lotto–Belisol,267

2013,4,Marcel Kittel,Nemčija,Argos–Shimano,222

2013,5,Alexander Kristoff,Norveška,Team Katusha,177

2013,6,Juan Antonio Flecha,Španija,Vacansoleil–DCM,163

2013,7,José Joaquín Rojas,Španija,Movistar Team,156

2013,8,Michał Kwiatkowski,Poljska,Omega Pharma–Quick-Step,110

2013,9,Chris Froome,Velika Britanija,Team Sky,107

2013,10,Christophe Riblon,Francija,Ag2r–La Mondiale,104

2014,1,Peter Sagan,Slovaška,Cannondale,431

2014,2,Alexander Kristoff,Norveška,Team Katusha,282

2014,3,Bryan Coquard,Francija,Team Europcar,271

2014,4,Marcel Kittel,Nemčija,Giant–Shimano,222

2014,5,Mark Renshaw,Avstralija,Omega Pharma–Quick-Step,211

2014,6,Vincenzo Nibali,Italija,Astana,182

2014,7,André Greipel,Nemčija,Lotto–Belisol,169

2014,8,Ramūnas Navardauskas,Litva,Garmin–Sharp,157

2014,9,Greg Van Avermaet,Belgija,BMC Racing Team,153

2014,10,Samuel Dumoulin,Francija,Ag2r–La Mondiale,117

2015,1,Peter Sagan,Slovaška,Tinkoff–Saxo,432

2015,2,André Greipel,Nemčija,Lotto–Soudal,366

2015,3,John Degenkolb,Nemčija,Team Giant–Alpecin,298

2015,4,Mark Cavendish,Velika Britanija,Etixx–Quick-Step,206

2015,5,Bryan Coquard,Francija,Team Europcar,152

2015,6,Chris Froome,Velika Britanija,Team Sky,139

2015,7,Thibaut Pinot,Francija,FDJ,113

2015,8,Alejandro Valverde,Španija,Movistar Team,103

2015,9,Thomas de Gendt,Belgija,Lotto–Soudal,90

2015,10,Alexander Kristoff,Norveška,Team Katusha,90

2016,1,Peter Sagan,Slovaška,Tinkoff,470

2016,2,Marcel Kittel,Nemčija,Etixx–Quick-Step,228

2016,3,Michael Matthews,Avstralija,Orica–BikeExchange,199

2016,4,André Greipel,Nemčija,Lotto–Soudal,178

2016,5,Alexander Kristoff,Norveška,Team Katusha,172

2016,6,Bryan Coquard,Francija,Direct Énergie,156

2016,7,Thomas de Gendt,Belgija,Lotto–Soudal,154

2016,8,Greg van Avermaet,Belgija,BMC Racing Team,136

2016,9,Chris Froome,Velika Britanija,Team Sky,131

2016,10,Rafał Majka,Poljska,Tinkoff,120
